date,SP500
,SPY
2005-03-29,85.3465789322
2005-03-30,86.5550397731
2005-03-31,86.3939110262
2005-04-01,86.0057397237
2005-04-04,86.1522175397
2005-04-05,86.5623652385
2005-04-06,86.8626463359
2005-04-07,87.331382378
2005-04-08,86.4232077612
2005-04-11,86.4891208376
2005-04-12,86.9358856101
2005-04-13,85.9105299124
2005-04-14,84.7899534174
2005-04-15,83.6034689728
2005-04-18,83.859807531
2005-04-19,84.5262945205
2005-04-20,83.3471296822
2005-04-21,84.9657330951
2005-04-22,84.6434756014
2005-04-25,85.2001011162
2005-04-26,84.3724853799
2005-04-27,84.7020690715
2005-04-28,83.6400853141
2005-04-29,84.7753076132
2005-05-02,85.2513691208
2005-05-03,85.3978462044
2005-05-04,86.0570077284
2005-05-05,86.0277109933
2005-05-06,85.7567207718
2005-05-09,86.2913757494
2005-05-10,85.3978462044
2005-05-11,85.8665822464
2005-05-12,84.9217854292
2005-05-13,84.7533363437
2005-05-16,85.5443298795
2005-05-17,86.1156011984
2005-05-18,87.0018045456
2005-05-19,87.3680045785
2005-05-20,87.2434980321
2005-05-23,87.7268791459
2005-05-24,87.5218078599
2005-05-25,87.4558947836
2005-05-26,87.9246300933
2005-05-27,88.0711079092
2005-05-31,87.5071620558
2005-06-01,88.2542079257
2005-06-02,88.4446334076
2005-06-03,87.9978693674
2005-06-06,87.9173046278
2005-06-07,87.9832177041
2005-06-08,87.8220948165
2005-06-09,88.2395621216
2005-06-10,88.0344857087
2005-06-13,88.3128013957
2005-06-14,88.5178726817
2005-06-15,88.6863210349
2005-06-16,88.9133694497
2005-06-17,89.2412056347
2005-06-20,89.2706200829
2005-06-21,89.3220933451
2005-06-22,89.395626892
2005-06-23,88.1381914014
2005-06-24,87.4910911886
2005-06-27,87.616098733
2005-06-28,88.3514415552
2005-06-29,88.1161318521
2005-06-30,87.638157547
2005-07-01,87.8955267994
2005-07-05,88.6014551734
2005-07-06,87.8587625997
2005-07-07,88.2043693141
2005-07-08,89.2117911865
2005-07-11,89.6677052069
2005-07-12,89.90301491
2005-07-13,90.0280217191
2005-07-14,90.3809892151
2005-07-15,90.3295093348
2005-07-18,89.9691928226
2005-07-19,90.4618717781
2005-07-20,90.7707194402
2005-07-21,90.2412718729
2005-07-22,90.8442529871
2005-07-25,90.5868837346
2005-07-26,90.6971807459
2005-07-27,91.0280886926
2005-07-28,91.6016553586
2005-07-29,90.9913193455
2005-08-01,90.9251414328
2005-08-02,91.4692929152
2005-08-03,91.7119575172
2005-08-04,90.976614695
2005-08-05,90.358923783
2005-08-08,90.1897986107
2005-08-09,90.733950093
2005-08-10,90.6898317297
